Providers number;Extern attribute;Global strings number;Dex number;Intern attribute;Argument Type number;Balise number;Call number;Special strings number;Custom Argument;Affectation number;Number of sginature permission;Number of Dangerous permission;Average size of class;Services number;Android API;Receivers Numbers;Unicode number;URL Number;Weighted Method per class;Reponse for class;Class number;Permission number;Other Permission number;Number of child;Other Type String Number;SystemArgs;Type;Index
*;86;36796;1;13;9851;17;129;12;0;1006;1;5;38;8;0;7;7;110;25,11111111;50,22222222;5;21;15;0;0;0;Malware;0
0;83;10453;1;16;2406;2;12;0;0;126;0;2;295;1;0;1;0;0;32,13793103;64,27586207;0;3;1;0;0;0;Malware;1
1;87;153;1;12;96;2;0;0;0;0;1;4;137;5;0;2;0;0;24,21052632;48,42105263;0;16;11;0;0;0;Malware;2
0;83;7024;1;16;2460;17;6;6;0;190;1;1;52;1;0;0;1;1;21,92682927;43,85365854;0;4;2;0;0;0;Malware;3
6;78;63692;2;21;22428;27;45;16;100;716;0;4;28;11;0;7;0;95;37,39285714;74,78571429;4;13;9;0;0;0;Malware;4
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;23,8125;47,625;0;22;12;0;0;0;Malware;5
3;87;35135;1;12;9349;20;60;16;100;766;0;0;11;6;0;4;1;63;26,275;52,55;70;6;6;0;0;0;Malware;6
0;86;1423;1;13;198;2;6;0;0;4;0;0;27;0;0;0;0;3;22,14545455;44,29090909;0;1;1;0;0;0;Malware;7
2;83;46587;1;16;14497;23;37;12;0;526;1;2;29;9;0;6;1;51;26,88888889;53,77777778;779;10;7;0;0;0;Malware;8
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;26,88888889;53,77777778;0;22;12;0;0;0;Malware;9
0;87;673;1;12;167;2;0;0;100;63;1;13;82;6;0;10;0;0;20,03174603;40,06349206;0;21;7;0,206349206;0;0;Malware;10
0;87;1263;1;12;166;2;6;0;0;8;0;3;101;2;0;1;0;3;19,63513514;39,27027027;0;10;7;0,418918919;0;0;Malware;11
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;26,88888889;53,77777778;0;22;12;0;0;0;Malware;12
0;83;3555;1;16;2281;3;0;4;0;23;0;7;414;0;0;2;0;7;12,41935484;24,83870968;0;11;4;3,483870968;0;0;Malware;13
2;88;43970;1;11;12925;25;47;11;0;596;0;2;45;9;0;6;8;57;24,52631579;49,05263158;779;9;7;53,36842105;0;0;Malware;14
0;86;2216;1;13;731;2;0;1;0;16;0;6;104;0;0;1;0;10;19,91970803;39,83941606;10;10;4;1,379562044;0;0;Malware;15
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;19,61842105;39,23684211;0;22;12;0;0;0;Malware;16
0;87;2013;1;12;464;4;0;0;0;59;0;6;34;1;0;1;0;3;18,95454545;37,90909091;0;11;5;0,168831169;0;0;Malware;17
0;87;3117;1;12;1238;2;12;0;100;126;0;10;230;2;0;5;0;5;18,81460674;37,62921348;0;20;10;0,382022472;0;0;Malware;18
0;83;2669;1;16;480;2;3;1;0;33;0;4;287;0;0;0;0;20;14,84313725;29,68627451;34;7;3;1,176470588;0;0;Malware;19
0;83;17922;1;16;4981;31;24;7;0;418;0;11;99;3;0;0;8;53;30,54901961;61,09803922;549;14;3;0;0;0;Malware;20
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;30,54901961;61,09803922;0;22;12;0;0;0;Malware;21
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;30,54901961;61,09803922;0;22;12;0;0;0;Malware;22
3;87;34220;1;12;9008;20;55;16;100;718;0;0;14;4;0;4;1;59;18,78453039;37,56906077;5;5;5;26,45303867;0;0;Malware;23
1;83;4217;1;16;1082;4;0;0;0;80;1;8;174;0;0;2;0;4;30,22330097;60,44660194;0;21;12;0;0;0;Malware;24
1;87;6107;1;12;1857;7;15;0;0;94;1;0;151;1;0;0;0;2;20,32211538;40,64423077;0;2;1;4,725961538;0;0;Malware;25
1;83;4217;1;16;1082;4;0;0;0;80;1;8;174;0;0;2;0;4;30,22330097;60,44660194;0;21;12;0;0;0;Malware;26
1;87;27318;1;12;8018;12;56;16;100;369;0;5;45;43;0;6;0;54;21,14814815;42,2962963;11;16;11;10,91666667;0;0;Malware;27
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;15,68604651;31,37209302;0;22;12;0,220930233;0;0;Malware;28
1;83;4498;1;16;1143;5;0;0;0;93;1;9;21;2;0;3;0;6;14,375;28,75;0;22;12;0;0;0;Malware;29
1;83;4217;1;16;1082;4;0;0;0;80;1;8;174;0;0;2;0;4;16,68571429;33,37142857;0;21;12;0;0;0;Malware;30
0;83;2475;1;16;608;4;0;0;0;59;0;6;38;0;0;1;0;3;14,82692308;29,65384615;41;12;6;0;0;0;Malware;31
1;81;54508;2;18;21934;14;61;15;100;462;0;9;17;49;0;7;0;55;33,85185185;67,7037037;1;21;12;0;0;0;Malware;32
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;14,73584906;29,47169811;0;22;12;0;0;0;Malware;33
0;83;2256;1;16;488;2;0;0;0;37;0;1;94;0;0;0;0;1;12,4691358;24,9382716;0;2;1;0;0;0;Malware;34
0;83;1295;1;16;88;2;7;2;0;3;8;18;398;1;0;1;0;21;13,08;26,16;0;109;83;0;0;0;Malware;35
0;83;11269;1;16;3442;3;0;0;0;133;0;2;68;2;0;2;0;13;14,47761194;28,95522388;0;5;3;0;0;0;Malware;36
0;83;1036;1;16;81;11;0;0;0;47;1;10;43;0;0;3;0;2;14,31428571;28,62857143;0;16;5;0;0;0;Malware;37
0;83;4960;1;16;960;2;12;0;0;121;0;3;259;0;0;0;0;1;21,3030303;42,60606061;0;3;0;0;0;0;Malware;38
0;87;25341;1;12;5426;121;26;1;100;253;0;0;44;0;2;0;2;31;25,45669291;50,91338583;0;1;1;4,539370079;0;0;Malware;39
